WORK_ID,HYBRID_RISK_SCORE,HYBRID_RISK_LEVEL,INVESTIGATION_PRIORITY,DETECTOR_AGREEMENT,LLM_RISK_SUMMARY,LLM_OBSERVED_SIGNALS,LLM_WHY_FLAGGED,LLM_LIMITATIONS,LLM_WHAT_TO_VERIFY,LLM_CONFIDENCE
227474,90.0,CRITICAL,P1,RULE + STATISTICAL + ML,"The work shows multiple anomaly signals: high hybrid risk score (90, CRITICAL), rule and statistical detectors flagged, ML anomaly at the 100th percentile, 14 payment transactions all marked in‑progress with zero successful completions, very high payment frequency (≈60 per 30 days), and a payment recorded 101 days after the reported completion date. Peer comparison is weak (only one peer).","[""Hybrid score 90 (CRITICAL)"", ""Rule detector score 35"", ""Statistical detector score 25"", ""ML anomaly at 99.999 percentile"", ""14 payment transactions, 0 successful"", ""Payments per 30 days = 60"", ""Payment after reported completion (101 days)""]","The combination of rule, statistical and machine‑learning detectors indicates atypical payment behavior. All 14 payments are still in‑progress with no successful settlement, and the payment cadence is unusually high. A payment occurring well after the reported completion date further deviates from expected patterns. Peer benchmarking is unreliable because only one comparable work is available, limiting the contextual baseline.","[""Peer group size is only 1, so peer‑based benchmarks are weak"", ""Missing attachment identifier and no explicit data‑quality completeness metric"", ""No records of successful payment settlements, making verification of actual fund flow uncertain""]","[""Detailed transaction records for each of the 14 payments and their settlement status"", ""Vendor identities, contracts, work orders, and procurement documentation"", ""Actual completion date versus payment dates and any measurement/acceptance reports"", ""Original government sanction and expenditure records to confirm reported amounts"", ""Comparison with a broader set of similar works if available""]",MEDIUM
186128,90.0,CRITICAL,P1,RULE + STATISTICAL + ML,"The work shows multiple anomaly signals: a high concentration of payments (126 per 30 days), many pending payments (20 in‑progress vs 1 successful), a large number of distinct vendors (13) for a single ₹500,000 project, and weak peer comparison (only one peer). Rule‑based, statistical and ML detectors all flagged the case, resulting in a critical hybrid risk score of 90.","[""High payments‑per‑time‑window metric (126 per 30 days)"", ""Large number of in‑progress payments relative to successful ones"", ""Multiple vendors for a modest‑size project"", ""Rule, statistical and ML detectors all triggered"", ""Peer‑group size of 1 (weak comparison)""]","The combination of rule‑based, statistical and machine‑learning anomalies, together with an unusually high payment concentration and many pending payments, triggered the critical risk level. The limited peer benchmark further reduces confidence in normality, prompting a flag.","[""Peer comparison is weak (peer count = 1, below 10)"", ""Missing fields and attachment (2 missing fields, no attachment ID)"", ""Actual expenditure amount not recorded, completion date absent""]","[""Obtain and review each of the 21 payment transactions and supporting bank records"", ""Confirm vendor identities, contracts, work orders and procurement approvals for all 13 vendors"", ""Validate the physical progress of the road work against site inspection reports"", ""Reconcile disbursed amount (₹490,910) with work completed and approved invoices"", ""Retrieve missing fields/attachments and verify the actual cost and completion dates""]",MEDIUM
269921,90.0,CRITICAL,P1,RULE + STATISTICAL + ML,"The candidate shows multiple anomaly signals (rule, statistical and ML) with a high hybrid risk score (90) and critical risk level. Payment activity is unusually concentrated (255 payments per 30 days) with 17 in‑progress payments and virtually no successful payments recorded. Peer comparison is weak (only one peer). Data quality issues such as missing fields and absent attachment further limit confidence.","[""Rule detector score 35.0"", ""Statistical detector score 25.0"", ""ML anomaly at 99.98th percentile"", ""Payments per 30 days 255 (high concentration)"", ""Successful payments 0, in‑progress payments 17"", ""Peer group size 1 (weak comparison)"", ""Missing fields count 2"", ""Missing attachment""]","The combination of high‑scoring rule, statistical and machine‑learning detectors, unusually dense payment activity, absence of completed payment records, and limited peer benchmark together trigger the critical risk flag. Data‑quality gaps (missing fields, no attachment) also raise verification concerns.","[""Peer comparison based on a single comparable work (peer_count = 1) limits contextual assessment"", ""Missing attachment and two undefined fields reduce source reliability"", ""Actual disbursement amount is null, preventing full financial reconciliation"", ""No completed‑payment or completion‑date information is available""]","[""Review each of the 17 payment transactions and supporting bank/payment records"", ""Confirm vendor identities, contracts/work orders, and procurement documentation"", ""Validate the work’s completion status and any post‑completion payments"", ""Obtain and examine the missing attachment and any other omitted fields"", ""Cross‑check recommended, sanctioned and actual disbursement amounts against official government records""]",MEDIUM
230890,88.0,CRITICAL,P1,RULE + STATISTICAL + ML,"The work shows multiple anomaly signals: rule, statistical and ML detectors all flagged it, the hybrid risk score is 88 (critical). Disbursement is only 57% of the sanctioned amount while 25 payment entries (one per vendor) are recorded, with 23 still in‑progress and a high payment frequency (≈4.2 payments/30 days). Peer comparison is weak (only one peer). Data‑quality issues include missing fields and absent attachment. These factors collectively suggest verification concerns that merit priority review.","[""Rule detector score 35.0"", ""Statistical detector score 23.0"", ""ML anomaly at 99.98th percentile"", ""Disbursed‑to‑sanction ratio 57%"", ""High payment count (25) vs low disbursement"", ""Payments per 30 days 4.24"", ""Weak peer group (peer_count = 1)"", ""Missing attachment and fields""]","The combination of high‑severity detector outputs, a low disbursement ratio relative to the sanctioned amount, an unusually large number of payment entries with most still in‑progress, and a weak peer benchmark trigger the critical risk level and P1 priority.","[""Actual disbursed amount is missing (null)"", ""Completion dates and payment‑after‑completion status are unavailable"", ""Peer comparison is based on a single comparable work"", ""Two required data fields are missing and no attachment is provided""]","[""Detailed payment transaction records and their supporting invoices"", ""Vendor identities, contracts, work orders and procurement documentation"", ""Progress reports or site inspection evidence to confirm work completion"", ""Sanction and disbursement ledger entries in official government systems"", ""Missing attachment and any other absent data fields""]",HIGH
249920,88.0,CRITICAL,P1,RULE + STATISTICAL + ML,"The candidate shows multiple anomaly signals: high hybrid score (88) flagged as CRITICAL, rule (35) and statistical (23) detector alerts, and an ML anomaly at the 99.98th percentile. Payment activity is concentrated (≈6.4 payments per 30 days) with 11 of 12 payments still marked in‑progress, and each payment is linked to a distinct vendor. Peer comparison is weak (only one peer work). A missing‑field flag and incomplete timeline data further reduce data confidence.","[""Hybrid score 88 (CRITICAL)"", ""Rule detector score 35"", ""Statistical detector score 23"", ""ML anomaly 99.98th percentile"", ""Payments per 30 days 6.43"", ""12 unique vendors for 12 payments"", ""11 payments still in‑progress"", ""Peer group size 1 (weak)"", ""Missing‑field count 1""]","The combination of high‑severity detector alerts, unusually frequent payment activity, a large proportion of payments not yet completed, and limited peer benchmarking creates a strong screening signal for further review.","[""Peer comparison based on a single comparable work limits contextual assessment"", ""Missing field(s) and absent completion dates reduce data completeness"", ""Payment status (in‑progress vs. completed) may reflect reporting lag rather than misuse""]","[""Review each of the 12 payment transactions and supporting payment documentation"", ""Confirm vendor identities, work orders, and procurement approvals"", ""Validate actual work completion dates and reconcile with payment timeline"", ""Address the missing field(s) and obtain complete project documentation"", ""Cross‑check reported amounts and dates against official government records""]",MEDIUM
144452,88.0,CRITICAL,P1,RULE + STATISTICAL + ML,"The work shows multiple high‑risk signals: a critical hybrid score of 88 driven by rule, statistical and ML detectors; unusually high payment frequency (≈16 payments per 30 days) with 19 of 20 payments still in‑progress; a large number of distinct vendors (11) relative to payment count; and a peer‑group of only one comparable work, limiting benchmarking. Data gaps such as missing attachments and absent actual‑to‑sanction values further reduce confidence in the record.","[""Hybrid score 88 (critical)"", ""Rule detector score 35"", ""Statistical detector score 23"", ""ML anomaly at 99.98th percentile"", ""Disbursed‑to‑sanction ratio 97.9%"", ""Payments per 30 days 15.79"", ""Vendor count 11 for 20 payments"", ""Peer count 1 (weak comparison)"", ""Missing fields count 2""]","The combination of a high anomaly percentile, strong rule and statistical detector alerts, rapid and largely uncompleted payment activity, and a weak peer benchmark suggests the work deviates from typical MPLADS patterns and warrants closer scrutiny.","[""Peer comparison is weak (peer count = 1)"", ""Missing attachment and other fields reduce data completeness"", ""Actual disbursement amount and completion dates are unavailable""]","[""Detailed payment transaction records and supporting invoices"", ""Vendor identities, contracts, work orders, and procurement documentation"", ""Verification of work completion status and any post‑completion payments"", ""Cross‑check of sanction and disbursement figures against official government records""]",MEDIUM
249915,88.0,CRITICAL,P1,RULE + STATISTICAL + ML,"The work shows multiple anomaly signals (rule, statistical and ML) and a high hybrid risk score (88, CRITICAL). Payment activity is unusually fragmented (12 transactions, 12 distinct vendors, only 1 marked successful) and the peer comparison is based on a single comparable work, limiting contextual assessment. Data gaps (missing fields, absent completion dates) further reduce confidence in the current picture.","[""Rule detector score 35.0"", ""Statistical detector score 23.0"", ""ML anomaly at 99.97th percentile"", ""12 payment transactions with 12 unique vendors"", ""Only 1 successful payment, 11 in‑progress"", ""Peer group size 1""]","Combined detector alerts, high anomaly percentile, and atypical payment pattern (many vendors and pending payments) triggered the critical risk flag. The weak peer benchmark and missing data amplify uncertainty, prompting a high‑priority review.","[""Peer comparison based on a single work (peer_count = 1) limits contextual relevance"", ""One missing field and absent completion dates reduce data completeness""]","[""Detailed review of each payment transaction and supporting bank records"", ""Verification of vendor identities, contracts, work orders, and procurement documentation"", ""Confirmation of actual work completion status and dates"", ""Cross‑check of reported amounts against original government sanction and expenditure records""]",MEDIUM
259491,88.0,CRITICAL,P1,RULE + STATISTICAL + ML,"The work shows multiple anomaly signals (rule, statistical and ML) combined with a low disbursement‑to‑sanction ratio (43.5%), 17 in‑progress payments to 17 distinct vendors and no recorded successful payments. Peer comparison is weak (only one peer). These factors contributed to a CRITICAL risk level and P1 priority.","[""Rule detector score 35.0"", ""Statistical detector score 23.0"", ""ML anomaly at 99.97th percentile"", ""Disbursed‑to‑sanction ratio 0.435"", ""17 payment transactions all marked in‑progress"", ""17 unique vendors"", ""Zero successful payments""]","The candidate was flagged because the detectors identified out‑of‑norm patterns, the fund utilisation is far below the sanctioned amount, and the payment pattern (many pending payments, no completed ones) is atypical for a partially completed work. The peer benchmark is insufficient to contextualise the sanction amount, further raising concern.","[""Actual disbursed amount is missing (null)"", ""Two data fields are missing and no attachment is available"", ""Peer group size is only 1, limiting comparative analysis"", ""No completion date or verification of work progress is provided""]","[""Review each of the 17 payment transactions and supporting bank records"", ""Confirm vendor identities, contracts, work orders and procurement approvals"", ""Obtain and examine the missing fields/attachments (e.g., invoices, completion certificates)"", ""Validate the actual work progress against site reports or photographs"", ""Compare the sanction amount with a broader set of similar MPLADS projects once more peers are identified""]",MEDIUM
241441,88.0,CRITICAL,P1,RULE + STATISTICAL + ML,"The candidate shows multiple anomaly signals: high hybrid risk score (88, CRITICAL), rule and statistical detectors flagged, ML anomaly at 99.97th percentile, unusually high payment frequency (≈25.7 payments per 30 days) with 11 of 12 payments still in‑progress, 12 distinct vendors for 12 payments, and a disbursed‑to‑sanction ratio of 83%. Peer comparison is weak (only one peer). Data quality issues include two missing fields and no attachment identifier.","[""Hybrid score 88 (CRITICAL)"", ""Rule detector score 35"", ""Statistical detector score 23"", ""ML anomaly at 99.97th percentile"", ""Payments per 30 days 25.71"", ""11 in‑progress payments out of 12"", ""12 unique vendors for 12 payments"", ""Disbursed‑to‑sanction ratio 0.83""]",,"[""Peer group size of 1 makes comparative analysis weak"", ""Missing attachment and two other fields reduce record completeness"", ""Actual disbursement amount and completion status are not recorded""]","[""Obtain and review each payment transaction record and supporting documentation"", ""Confirm vendor identities, work orders, and procurement approvals"", ""Verify the actual amount disbursed versus sanctioned amount"", ""Determine whether the work has been completed and reconcile any post‑completion payments"", ""Retrieve missing attachment and fill missing fields from official sources""]",MEDIUM
252744,88.0,CRITICAL,P1,RULE + STATISTICAL + ML,"The candidate shows multiple anomaly signals: high rule (35) and statistical (23) detector scores, an ML anomaly at the 99.96th percentile, a critical hybrid risk score (88), a high frequency of payments (≈2.5 per 30 days) with many in‑progress transactions, and a weak peer benchmark (only one comparable work). Data gaps (missing fields, no attachment, no actual amount) further limit assessment.","[""Rule detector score 35"", ""Statistical detector score 23"", ""ML anomaly 99.96th percentile"", ""Hybrid risk score 88 (critical)"", ""Payments per 30 days 2.55"", ""14 distinct vendors for 14 payments"", ""11 payments still in‑progress"", ""Peer group size 1 (weak)"", ""Missing attachment and 2 fields""]","The combination of rule‑based, statistical and machine‑learning anomalies, unusually high payment concentration, a large number of active vendors and pending payments, and insufficient peer comparison together trigger the critical risk flag. Data‑quality issues (missing fields/attachment) also raise verification concerns.","[""Peer comparison is weak (peer count = 1)"", ""Missing attachment and two data fields limit completeness"", ""Actual disbursement amount not recorded"", ""No completion date or verification of work finish""]","[""Detailed payment transaction records and supporting invoices"", ""Vendor identities, contracts, and work orders for the 14 vendors"", ""Status of each payment (why 11 remain in‑progress)"", ""Completion evidence for the Godown construction"", ""Original sanction and disbursement documents"", ""Peer works for similar projects in Himachal Pradesh""]",MEDIUM
