RULE,CATEGORY,STRENGTH,SCORE,VERIFICATION_ONLY,TRIGGERED_WORKS,PERCENT_OF_WORKS,DESCRIPTION
RULE_LOW_DATA_COMPLETENESS,Data Quality,VERIFY,0,True,27347,26.16512146349398,More than half of the selected analytical fields are missing; verify the underlying record.
RULE_SANCTION_ABOVE_2X_PEER,Financial,MODERATE,20,False,2051,1.9623601902082917,Sanction amount is more than 2x the median sanction amount of comparable peer works.
RULE_HIGH_IN_PROGRESS_RATIO,Payment Status,WEAK,5,False,1897,1.815015739066372,More than half of the recorded payment transactions are currently marked as in progress.
RULE_HIGH_PAYMENT_COUNT,Payment,MODERATE,10,False,1414,1.3528899604848972,Work has at least 5 recorded payment transactions.
RULE_HIGH_PAYMENT_FREQUENCY,Payment,MODERATE,10,False,1023,0.9787881397284653,Payment activity exceeds 3 recorded payments per 30 expenditure days.
RULE_MULTIPLE_VENDORS,Payment,MODERATE,10,False,861,0.8237894313843681,Work has payments associated with at least 5 vendors.
RULE_SANCTION_ABOVE_5X_PEER,Financial,STRONG,35,False,708,0.6774017623927208,Sanction amount is more than 5x the median sanction amount of comparable peer works.
RULE_VERY_HIGH_PAYMENT_COUNT,Payment,STRONG,20,False,565,0.5405819149037956,Work has at least 10 recorded payment transactions.
RULE_VERY_HIGH_PAYMENT_FREQUENCY,Payment,STRONG,20,False,528,0.505180975343724,Payment activity exceeds 6 recorded payments per 30 expenditure days.
RULE_COMPLETION_BEFORE_LAST_PAYMENT,Timeline,VERIFY,0,True,498,0.47647751083555784,Reported completion date precedes the last recorded payment; verify because the dates may represent different administrative events.
RULE_PEER_Z_ABOVE_3,Financial,MODERATE,20,False,344,0.3291330596936383,Sanction amount is more than 3 standard deviations above the comparable peer mean.
RULE_MANY_VENDORS,Payment,STRONG,20,False,313,0.2994728130352,Work has payments associated with at least 10 vendors.
RULE_PEER_Z_ABOVE_5,Financial,STRONG,35,False,94,0.08993752212558723,Sanction amount is more than 5 standard deviations above the comparable peer mean.
RULE_DISBURSED_ABOVE_SANCTION,Financial,STRONG,35,False,0,0.0,Total recorded disbursement exceeds the sanctioned amount.
RULE_ACTUAL_ABOVE_SANCTION,Financial,STRONG,35,False,0,0.0,Reported actual expenditure exceeds the sanctioned amount.
RULE_RECOMMENDATION_BEFORE_SANCTION_VIOLATION,Timeline,STRONG,30,False,0,0.0,Recorded sanction date occurs before the recommendation date.
RULE_PAYMENT_BEFORE_SANCTION,Timeline,STRONG,30,False,0,0.0,Recorded expenditure occurs before the sanction date.
